,x1,x2,y
0,-14.522441,17.201866,5
1,22.770359,40.2877,0
2,-51.13575,-15.168975,4
3,17.13053,-15.139389,1
4,-21.693708,-13.273853,9
5,50.453327,2.0683587,2
6,21.448124,-47.853092,1
7,23.33536,6.075178,3
8,16.558401,-46.36866,1
9,-39.218838,6.6793876,4
10,20.96768,12.656613,3
11,-30.180931,18.774992,5
12,9.447847,10.623098,3
13,-12.066295,43.00124,6
14,28.8097,-43.10655,1
15,-5.990729,-25.894613,7
16,40.39934,6.5030804,2
17,6.6910696,-11.735722,8
18,-13.828311,31.986675,6
19,-13.478643,-8.555933,9
20,-49.467014,-18.84739,4
21,24.0648,43.180847,0
22,-16.192947,-7.9003105,9
23,17.226957,-15.032347,1
24,23.054846,-30.437414,1
25,35.432156,-4.9546757,2
26,-35.859043,-6.3330092,4
27,18.764893,8.705383,3
28,6.625047,-27.215998,2
29,0.64737856,-21.678284,7
30,6.4764977,15.228424,3
31,6.5393887,-14.4534,8
32,-19.003,37.204567,6
33,-12.848537,-7.4243846,9
34,29.053024,34.179752,0
35,-26.714785,21.936285,5
36,-10.6113205,31.047546,6
37,27.91784,35.79406,0
38,-4.2191014,-47.13639,7
39,-12.670852,38.962177,6
40,14.792331,-34.580532,1
41,4.756733,-6.4110484,8
42,-1.9189162,-42.842854,7
43,-13.352729,-9.231789,9
44,11.098066,0.6897122,3
45,-21.070913,-13.750142,9
46,-3.7860844,-2.816541,8
47,-24.661293,14.47223,5
48,6.5144615,4.122851,9
49,19.828705,7.0194845,3
50,16.11801,16.787792,3
51,13.643415,41.668686,0
52,-10.296578,-37.38723,7
53,13.977829,-18.49189,4
54,-20.329592,-15.400575,9
55,-0.8561481,-10.088969,8
56,10.004375,38.903084,0
57,-17.998634,-6.4605308,9
58,-44.044212,-14.822427,4
59,22.89684,-15.574561,1
60,-52.814148,-17.202065,4
61,-35.135983,6.5287223,4
62,-8.82278,33.189667,6
63,19.626019,41.389675,0
64,-51.05653,-7.2371306,4
65,-30.466597,18.573639,5
66,-8.092905,36.437996,6
67,31.714737,-26.546839,1
68,6.390483,43.222073,0
69,21.918623,30.620869,0
70,24.493097,-39.476395,1
71,-5.3410687,-23.695923,7
72,29.892979,-37.856335,1
73,-9.885285,37.65302,6
74,12.191033,4.3144956,3
75,25.918648,34.523136,0
76,38.18982,-11.308954,2
77,16.489973,-19.283928,1
78,24.292362,-21.677567,1
79,-0.056530613,-22.343584,7
80,16.399153,30.72807,9
81,25.226517,34.41917,0
82,39.424236,9.6496725,2
83,-9.725495,42.30837,6
84,-5.4888144,-40.645454,7
85,5.1258707,-6.586349,8
86,5.244604,12.747004,3
87,-20.756815,-5.5198874,9
88,9.925116,37.43821,0
89,-44.239094,5.255654,4
90,-9.655813,41.79504,6
91,-5.253829,-23.453146,7
92,-42.984634,-12.75312,4
93,-10.387593,38.777454,6
94,0.74681276,-8.602928,8
95,24.292967,32.619354,0
96,-2.8499413,-38.670418,7
97,2.0523086,-11.320497,8
98,12.538782,5.0656004,3
99,16.97093,-21.731514,1
100,-23.54055,7.5823665,5
101,-11.822596,-31.626774,7
102,29.072212,-40.954582,1
103,-7.3864064,-29.671457,7
104,25.009733,-50.181942,1
105,27.263853,-22.061394,1
106,-16.202034,32.339333,6
107,24.779387,13.326876,3
108,7.1955137,47.492085,0
109,49.269905,-7.2868123,2
110,-32.38317,-28.771673,9
111,15.168795,9.165982,3
112,16.802805,-36.309284,1
113,26.900328,-18.794386,1
114,14.353902,49.74255,0
115,-41.198517,3.2736754,4
116,-26.88815,-17.883287,9
117,43.62454,-7.969234,2
118,16.651318,35.413578,0
119,24.79204,44.020657,0
120,-2.7997475,-35.74711,2
121,9.201564,44.816063,0
122,39.429607,-6.4132366,2
123,-2.988339,-24.153337,7
124,32.093975,-34.327663,1
125,5.244356,-5.6866074,8
126,-16.028267,30.976347,6
127,-39.893047,8.069067,4
128,23.64669,-35.169567,1
129,-5.8940916,35.09216,6
130,15.222065,3.0144942,3
131,-39.39575,7.112248,4
132,20.58692,-44.40974,5
133,-14.684879,-14.825775,9
134,23.24668,-52.268417,1
135,25.093126,10.572025,3
136,9.905596,5.922608,3
137,4.858822,-9.001762,8
138,-8.565391,22.013556,5
139,-36.56408,3.2672312,4
140,3.4832034,-38.19088,7
141,0.26401564,-21.825695,7
142,-38.120037,-1.5168376,4
143,47.306396,-8.861428,2
144,-4.4354267,3.0818036,8
145,-28.813305,17.479683,5
146,1.2619404,-10.728346,8
147,-13.987595,37.344242,6
148,-22.543177,-12.230592,7
149,12.608996,8.917163,3
150,-32.870506,-9.583937,4
151,-8.736498,40.978138,6
152,29.664068,-32.329964,1
153,-14.169467,-9.010161,9
154,-18.49143,-33.92733,9
155,-6.853998,37.741714,6
156,15.033528,47.332706,0
157,25.722769,9.896635,3
158,-18.427677,-45.063057,7
159,52.619774,-0.6203624,2
160,-3.846606,0.42048898,8
161,35.659443,-4.630628,2
162,-24.880373,-21.828693,9
163,-35.005714,6.3552485,4
164,-48.691666,-15.93283,4
165,-9.3598,37.413776,6
166,-37.543262,1.0363234,4
167,-21.340372,-6.083872,9
168,5.265047,-35.31065,7
169,24.293102,31.575506,0
170,-26.104935,-24.4249,9
171,43.649887,-7.670002,2
172,-14.610951,-35.505768,9
173,-29.001534,21.725546,5
174,14.964853,-33.11416,1
175,-27.401459,18.690517,5
176,-21.724266,-24.341064,9
177,14.687378,-21.218943,1
178,46.511665,13.681446,2
179,24.235952,6.140866,3
180,32.45293,-11.560464,2
181,24.735363,5.322349,3
182,-2.0221112,20.786938,5
183,-20.032755,-11.179183,9
184,27.266136,-45.09771,1
185,-5.7845883,-28.321302,7
186,-21.310484,41.721447,6
187,41.021008,-8.265979,2
188,-7.795834,-0.88476294,8
189,46.35006,-7.8040986,2
190,40.006176,-8.329933,2
191,-29.222645,17.62829,5
192,20.995174,34.278706,0
193,-5.260953,-23.13532,7
194,-45.713272,-10.696753,4
195,-15.10983,-5.985029,9
196,-16.069567,-42.780907,7
197,6.221148,-11.777983,8
198,14.002688,18.09386,3
199,52.203995,-0.80848575,2
200,23.790058,-47.000698,1
201,16.778566,-14.698663,1
202,5.777018,-7.23118,8
203,24.427317,5.6118236,3
204,-16.643618,37.032536,6
205,25.51005,-14.855213,1
206,11.609108,43.127598,0
207,27.212759,6.278532,3
208,21.919577,-30.9039,1
209,8.056807,43.69968,0
210,12.301147,32.908432,0
211,22.965387,-31.163727,1
212,14.532094,-44.185783,7
213,47.684654,2.9274554,2
214,-13.363705,-42.39311,7
215,24.076328,13.663957,3
216,17.058596,29.281733,0
217,-41.53837,-6.664646,4
218,-19.890446,42.904816,6
219,-18.574993,20.441648,5
