x1,x2,y
30.022442,-19.564634,5
70.528366,24.20409,0
-86.3189,35.824657,4
-36.238693,42.08985,1
-49.67726,-18.000813,9
23.993238,33.012592,2
-10.023718,101.10056,1
43.66431,-53.285965,3
-8.632806,93.69749,1
-49.772358,31.939522,4
68.88346,-37.097336,3
-4.6508527,-11.502599,5
69.98191,-69.73052,3
44.615242,72.8695,6
-3.2269645,84.33476,1
-38.369514,-76.74432,7
18.679672,8.082497,2
-2.3337982,-43.66643,8
23.221453,67.21985,6
-25.637733,-6.288778,9
-105.38744,24.589956,4
69.30147,31.610952,0
-32.837315,-2.0251584,9
-36.65526,41.347626,1
0.8557242,62.088566,1
-8.705702,11.969078,2
-68.075455,11.068316,4
53.093815,-52.503895,3
-30.54961,-59.173386,2
-23.745913,-49.855183,7
76.90423,-74.7955,3
-2.7209516,-40.673923,8
19.665752,82.68411,6
-23.566555,-6.550169,9
54.384346,15.033385,0
4.486932,-8.149206,5
16.291908,64.73676,6
55.888252,18.426456,0
-64.38209,-37.67094,7
36.534622,72.19721,6
-32.01625,81.63143,1
9.136602,-53.482113,8
-57.564568,-45.816372,7
-29.08355,-5.361288,9
46.64198,-81.45595,3
-48.45622,-17.769156,9
-1.3763602,-78.53077,8
9.112804,-19.182066,5
41.758236,-83.940384,9
45.799442,-56.92254,3
74.67992,-46.01305,3
88.60866,22.308352,0
-71.29539,-70.279106,7
-43.968918,11.456061,4
-47.889023,-11.569961,9
-10.069589,-58.07138,8
92.3514,13.041164,0
-30.833607,-16.701872,9
-94.162895,15.340013,4
-27.117678,36.963276,1
-103.33304,31.174158,4
-41.670338,22.547798,4
26.918547,61.28164,6
70.942276,24.452932,0
-83.885925,41.59431,4
-4.2175355,-11.148861,5
31.130676,65.624565,6
-19.402138,59.98631,1
104.98,16.641441,0
65.08476,2.4028096,0
-3.229665,63.610363,1
-36.904354,-78.58951,7
-9.388714,76.91553,1
32.826614,69.49476,6
56.53084,-74.5198,3
61.037437,14.165263,0
