x1,x2,y
41.180428,-31.813854,5
126.244255,28.737152,0
-153.92006,47.471046,4
-58.032562,68.83072,1
-84.99157,-26.658178,9
39.762367,51.87076,2
-13.682636,171.39311,1
76.08085,-77.87054,3
-11.372086,160.95915,1
-92.289024,51.737312,4
106.99674,-62.917625,3
-9.194573,-21.966862,5
105.836914,-116.22608,3
70.46659,119.44939,6
-2.4460437,141.83264,1
-64.41881,-121.35124,7
28.890139,12.925811,2
-3.5766878,-83.2169,8
39.633736,109.22431,6
-47.049694,-8.169534,9
-182.32195,25.125101,4
122.902756,42.834995,0
-60.967937,0.6681838,9
-57.839725,67.93167,1
3.1644797,109.07206,1
-14.399274,19.163773,2
-117.67909,14.788798,4
87.951164,-80.63836,3
-51.891697,-93.77495,2
-38.716614,-83.606316,7
110.809044,-125.09789,3
-3.8428173,-76.338646,8
33.049442,130.74704,6
-44.329998,-7.403294,9
99.056046,18.202421,0
2.3338306,-14.097365,5
29.966637,105.845726,6
101.85082,22.443996,0
-104.23079,-56.63132,7
60.811848,120.117004,6
-41.75864,134.30826,1
14.827624,-99.18252,8
-91.27749,-70.06262,7
-53.121735,-6.3489356,9
65.584274,-119.731346,3
-85.910645,-26.347149,9
1.8367599,-138.10625,8
10.13816,-34.19629,5
61.71273,-126.148155,9
74.83891,-84.31296,3
117.44274,-77.017456,3
155.83351,28.380169,0
-115.19252,-107.30989,7
-81.71911,19.52774,4
-84.538445,-18.45132,9
-15.26451,-107.37126,8
163.27376,15.423443,0
-54.965145,-20.926943,9
-163.99774,18.614573,4
-44.305973,58.11846,1
-182.17485,36.38392,4
-77.91241,39.870308,4
45.3912,101.754326,6
126.3604,31.17943,0
-151.10397,57.126125,4
-9.346543,-21.100561,5
50.28019,108.32703,6
-25.767899,96.24542,1
181.41298,21.28744,0
118.02067,-0.90510666,0
-0.95695376,109.24125,1
-61.957157,-120.908485,7
-11.760656,128.00876,1
53.182602,114.65392,6
81.81127,-115.45311,3
108.24057,14.447103,0
-23.515726,33.46591,2
-48.98921,82.01599,1
-40.297104,80.66234,1
-60.615326,-120.23484,7
134.27272,-8.356617,9
107.52458,15.130847,0
35.27703,10.684297,2
70.02877,122.03994,6
-99.9395,-81.73826,7
13.13536,-93.61494,8
99.65261,-128.71019,3
-56.839382,-31.588535,9
160.4633,5.0080304,0
-106.53023,60.37453,4
69.42659,116.23537,6
-70.39619,-129.86885,7
-152.40828,28.500355,4
50.203575,111.28777,6
-4.420141,-107.83456,8
108.62511,9.725425,0
-85.33026,-94.081314,7
